datetime,symbol,high,low,open,close,volume,trend_macd,trend_macd_signal,trend_adx,trend_cci,momentum_rsi,momentum_stoch,momentum_stoch_signal,momentum_uo,momentum_wr,momentum_ao,Prediction
1/26/2024 5:40,FX:EURJPY,160.406,160.36,160.399,160.393,1535,0.064986227,0.071556147,38.00635971,6.370553884,58.60829202,57.07964602,67.10914454,55.65982397,-42.92035398,0.174814706,SELL
1/26/2024 5:45,FX:EURJPY,160.461,160.389,160.393,160.458,1178,0.066097511,0.070464419,37.51732583,97.41344287,63.76711166,85.84070796,67.55162242,56.74258933,-14.15929204,0.164667647,BUY
1/26/2024 5:50,FX:EURJPY,160.495,160.442,160.458,160.446,1084,0.065257661,0.069423068,37.43211188,135.1660939,62.22521255,78.78787879,73.90274426,50.65096753,-21.21212121,0.157435294,SELL
1/26/2024 5:55,FX:EURJPY,160.451,160.403,160.446,160.429,1243,0.062499857,0.068038426,36.52712233,82.79380027,60.01137795,71.42857143,78.68571939,52.8284423,-28.57142857,0.135347059,SELL
1/26/2024 6:00,FX:EURJPY,160.453,160.402,160.429,160.438,2131,0.060344884,0.066499717,35.71182968,79.17021881,60.8063875,75.32467532,75.18037518,50.74001006,-24.67532468,0.12045,BUY
1/26/2024 6:05,FX:EURJPY,160.462,160.428,160.438,160.458,1428,0.059564265,0.065112627,35.07295533,98.31244503,62.58645683,83.98268398,76.91197691,55.05648362,-16.01731602,0.11935,BUY
1/26/2024 6:10,FX:EURJPY,160.506,160.451,160.458,160.486,1720,0.060507492,0.0641916,35.02479048,130.1934051,64.98417795,90.24390244,83.18375392,61.77656556,-9.756097561,0.115182353,BUY
1/26/2024 6:15,FX:EURJPY,160.516,160.463,160.486,160.485,1350,0.060477172,0.063448714,35.09660216,123.2896652,64.82439334,85.37735849,86.5346483,59.29596482,-14.62264151,0.105838235,SELL
1/26/2024 6:20,FX:EURJPY,160.58,160.476,160.485,160.573,1536,0.066784161,0.064115804,35.83190283,176.7707695,71.47200844,96.92982456,90.85036183,60.90572834,-3.070175439,0.110802941,BUY
1/26/2024 6:25,FX:EURJPY,160.595,160.539,160.573,160.572,1167,0.07088469,0.065469581,36.65361764,185.2748747,71.30709387,90.21276596,90.839983,64.10311903,-9.787234043,0.123820588,SELL
