,datetime,symbol,open,high,low,close,volume,ema_fast,ema_slow,rsi,bulls_power,bears_power,bb_upper,bb_lower,SuperArrowSignal
5428,2024-07-18 12:20:00,FX:EURUSD,1.09146,1.09154,1.09128,1.09134,802.0,1.091404459110917,1.0913909668114625,49.523856249223634,3.809946757393767e-05,-0.00022190053242598928,1.0914577393204052,1.0913582606795946,0
5429,2024-07-18 12:25:00,FX:EURUSD,1.09134,1.09135,1.09112,1.09116,969.0,1.0913229727406115,1.0913554334558528,43.65146098800978,-0.00013849266840937347,-0.00036849266840932593,1.0914316962519628,1.0913143037480375,0
5430,2024-07-18 12:30:00,FX:EURUSD,1.09116,1.09118,1.09092,1.09095,763.0,1.0911986484937413,1.0912930590780294,37.92757182865308,-0.00028737530886391305,-0.000547375308864062,1.0914216674679134,1.0912483325320865,0
5431,2024-07-18 12:35:00,FX:EURUSD,1.09095,1.09107,1.09094,1.09105,565.0,1.0911490989958277,1.0912556653737173,41.886168092338075,-0.00038100764969284384,-0.0005110076496928073,1.091400363893625,1.0912076361063747,0
5432,2024-07-18 12:40:00,FX:EURUSD,1.09105,1.09111,1.09098,1.09106,571.0,1.0911193993305517,1.09122556300853,42.28768104669104,-0.0003256740163717353,-0.0004556740163716988,1.0913798360345144,1.0911741639654857,0
5433,2024-07-18 12:45:00,FX:EURUSD,1.09106,1.09123,1.09104,1.09114,634.0,1.091126266220368,1.0912123994687561,45.56968745680567,-0.0001940789569063739,-0.00038407895690628635,1.091319922719227,1.0911420772807732,0
5434,2024-07-18 12:50:00,FX:EURUSD,1.09114,1.09114,1.09089,1.09089,407.0,1.0910475108135786,1.091162799550486,38.169739314961106,-0.00026313468408645235,-0.0005131346840865358,1.091290080413507,1.0910879195864929,0
5435,2024-07-18 12:55:00,FX:EURUSD,1.09089,1.0909,1.09067,1.0907,542.0,1.090931673875719,1.091091599619642,33.640573961934734,-0.00047556077490651383,-0.0007055607749064663,1.091248676826039,1.0910053231739614,0
5436,2024-07-18 13:00:00,FX:EURUSD,1.0907,1.09075,1.09049,1.09055,812.0,1.0908044492504794,1.0910082766012354,30.521464801407788,-0.0005931858425571868,-0.0008531858425573358,1.0911600576794929,1.090899942320507,0
5437,2024-07-18 13:05:00,FX:EURUSD,1.09055,1.09066,1.09048,1.09053,717.0,1.0907129661669863,1.090934695585661,30.11531902347528,-0.000651296201672702,-0.000831296201672771,1.0910649853507057,1.0908090146492944,0
5438,2024-07-18 13:10:00,FX:EURUSD,1.09053,1.09055,1.09003,1.0901,729.0,1.0905086441113243,1.0908062808801746,22.951876389412007,-0.0007137943898423149,-0.0012337943898421688,1.0909742149186505,1.0906517850813495,0
5439,2024-07-18 13:15:00,FX:EURUSD,1.0901,1.0902,1.09005,1.09005,701.0,1.0903557627408829,1.0906899299755324,22.27962410290864,-0.0010161946098483643,-0.0011661946098484588,1.0908876178870572,1.0905163821129424,0
5440,2024-07-18 13:20:00,FX:EURUSD,1.09005,1.09016,1.08992,1.09009,821.0,1.0902671751605886,1.0905976330562197,24.216784875550147,-0.0010120301153444533,-0.0012520301153444713,1.0908170746130068,1.0904149253869933,0
5441,2024-07-18 13:25:00,FX:EURUSD,1.09009,1.09013,1.0899,1.08994,772.0,1.0901581167737258,1.0904964587398782,21.976004288176043,-0.0009937152088601575,-0.00122371520886011,1.0907149196274675,1.0902950803725326,0
