datetime,symbol,open,high,low,close,volume,HighArrow,LowArrow,UTC,GMT
2024-06-28 11:15:00,FX:EURUSD,1.07164,1.07213,1.07152,1.07196,2608.0,,,2024-06-28 16:15:00,2024-06-28 18:15:00
2024-06-28 11:00:00,FX:EURUSD,1.07112,1.07166,1.07095,1.07164,2538.0,,,2024-06-28 16:00:00,2024-06-28 18:00:00
2024-06-28 10:45:00,FX:EURUSD,1.07137,1.07158,1.07095,1.07112,3126.0,,,2024-06-28 15:45:00,2024-06-28 17:45:00
2024-06-28 10:30:00,FX:EURUSD,1.07146,1.07176,1.07131,1.07137,3147.0,,,2024-06-28 15:30:00,2024-06-28 17:30:00
2024-06-28 10:15:00,FX:EURUSD,1.07154,1.07163,1.07096,1.07146,4147.0,,,2024-06-28 15:15:00,2024-06-28 17:15:00
2024-06-28 10:00:00,FX:EURUSD,1.07183,1.07183,1.07107,1.07154,7350.0,,,2024-06-28 15:00:00,2024-06-28 17:00:00
2024-06-28 09:45:00,FX:EURUSD,1.07,1.07221,1.06999,1.07183,11276.0,,,2024-06-28 14:45:00,2024-06-28 16:45:00
2024-06-28 09:30:00,FX:EURUSD,1.07008,1.07026,1.06926,1.07,4743.0,,,2024-06-28 14:30:00,2024-06-28 16:30:00
2024-06-28 09:15:00,FX:EURUSD,1.07054,1.07073,1.07008,1.07008,4842.0,,,2024-06-28 14:15:00,2024-06-28 16:15:00
2024-06-28 09:00:00,FX:EURUSD,1.06984,1.07062,1.06927,1.07054,6915.0,,,2024-06-28 14:00:00,2024-06-28 16:00:00
2024-06-28 08:45:00,FX:EURUSD,1.07013,1.07038,1.06983,1.06984,4394.0,,,2024-06-28 13:45:00,2024-06-28 15:45:00
2024-06-28 08:30:00,FX:EURUSD,1.06968,1.07021,1.06927,1.07013,5140.0,,,2024-06-28 13:30:00,2024-06-28 15:30:00
2024-06-28 08:15:00,FX:EURUSD,1.07035,1.07059,1.06953,1.06968,5210.0,,,2024-06-28 13:15:00,2024-06-28 15:15:00
2024-06-28 08:00:00,FX:EURUSD,1.07046,1.07079,1.07026,1.07035,4380.0,,,2024-06-28 13:00:00,2024-06-28 15:00:00
2024-06-28 07:45:00,FX:EURUSD,1.07025,1.07098,1.06984,1.07046,5010.0,,,2024-06-28 12:45:00,2024-06-28 14:45:00
2024-06-28 07:30:00,FX:EURUSD,1.07041,1.07202,1.06955,1.07025,10009.0,,,2024-06-28 12:30:00,2024-06-28 14:30:00
2024-06-28 07:15:00,FX:EURUSD,1.0703,1.07067,1.07006,1.07041,3193.0,,,2024-06-28 12:15:00,2024-06-28 14:15:00
2024-06-28 07:00:00,FX:EURUSD,1.06971,1.07056,1.06969,1.0703,3113.0,,,2024-06-28 12:00:00,2024-06-28 14:00:00
2024-06-28 06:45:00,FX:EURUSD,1.06991,1.06995,1.0692,1.06971,2187.0,,1.069,2024-06-28 11:45:00,2024-06-28 13:45:00
2024-06-28 06:30:00,FX:EURUSD,1.07029,1.0703,1.06971,1.06991,2498.0,,,2024-06-28 11:30:00,2024-06-28 13:30:00
2024-06-28 06:15:00,FX:EURUSD,1.0708,1.0709,1.07025,1.07029,1747.0,,,2024-06-28 11:15:00,2024-06-28 13:15:00
2024-06-28 06:00:00,FX:EURUSD,1.07095,1.07116,1.07073,1.0708,2045.0,,,2024-06-28 11:00:00,2024-06-28 13:00:00
2024-06-28 05:45:00,FX:EURUSD,1.07049,1.07101,1.07044,1.07095,1766.0,,,2024-06-28 10:45:00,2024-06-28 12:45:00
2024-06-28 05:30:00,FX:EURUSD,1.07057,1.07103,1.07045,1.07049,2065.0,,,2024-06-28 10:30:00,2024-06-28 12:30:00
2024-06-28 05:15:00,FX:EURUSD,1.07069,1.07082,1.07048,1.07057,2049.0,,,2024-06-28 10:15:00,2024-06-28 12:15:00
2024-06-28 05:00:00,FX:EURUSD,1.07091,1.07099,1.07062,1.07069,2412.0,,,2024-06-28 10:00:00,2024-06-28 12:00:00
2024-06-28 04:45:00,FX:EURUSD,1.07049,1.07094,1.07034,1.07091,1657.0,,,2024-06-28 09:45:00,2024-06-28 11:45:00
2024-06-28 04:30:00,FX:EURUSD,1.06951,1.07053,1.06948,1.07049,2570.0,,,2024-06-28 09:30:00,2024-06-28 11:30:00
2024-06-28 04:15:00,FX:EURUSD,1.0696,1.06983,1.06933,1.06951,1985.0,,,2024-06-28 09:15:00,2024-06-28 11:15:00
2024-06-28 04:00:00,FX:EURUSD,1.06977,1.06982,1.06936,1.0696,2242.0,,,2024-06-28 09:00:00,2024-06-28 11:00:00
2024-06-28 03:45:00,FX:EURUSD,1.06942,1.07004,1.06933,1.06977,3185.0,,,2024-06-28 08:45:00,2024-06-28 10:45:00
2024-06-28 03:30:00,FX:EURUSD,1.06933,1.0698,1.06931,1.06942,2296.0,,,2024-06-28 08:30:00,2024-06-28 10:30:00
2024-06-28 03:15:00,FX:EURUSD,1.06956,1.06963,1.06921,1.06933,2374.0,,,2024-06-28 08:15:00,2024-06-28 10:15:00
