,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3,SuperSignalV2
3978,2024-07-18 11:35:00,FX:GBPJPY,203.663,203.792,203.645,203.748,1456.0,203.867,203.517,203.867,203.469,0.10946645094067212,,,,,0,0
3979,2024-07-18 11:40:00,FX:GBPJPY,203.748,203.784,203.724,203.758,1493.0,203.867,203.517,203.867,203.469,0.10847712192185872,,,,,0,0
3980,2024-07-18 11:45:00,FX:GBPJPY,203.758,203.834,203.749,203.765,1544.0,203.867,203.517,203.867,203.517,0.1080075794834217,,,,,0,0
3981,2024-07-18 11:50:00,FX:GBPJPY,203.765,203.784,203.737,203.745,1067.0,203.867,203.517,203.867,203.517,0.1067874278937532,,,,,0,0
3982,2024-07-18 11:55:00,FX:GBPJPY,203.745,203.867,203.737,203.846,1319.0,203.867,203.532,203.867,203.517,0.10725167933587805,203.97425167933588,,203.92062583966793,,2,2
3983,2024-07-18 12:00:00,FX:GBPJPY,203.846,203.852,203.756,203.769,1627.0,203.867,203.532,203.867,203.517,0.10702664574916057,,,,,0,0
3984,2024-07-18 12:05:00,FX:GBPJPY,203.769,203.785,203.725,203.738,1412.0,203.867,203.617,203.867,203.517,0.1060861128341774,,,,,0,0
3985,2024-07-18 12:10:00,FX:GBPJPY,203.738,203.848,203.737,203.842,1385.0,203.867,203.645,203.867,203.532,0.10618439057749422,,,,,0,0
3986,2024-07-18 12:15:00,FX:GBPJPY,203.842,203.852,203.771,203.781,1444.0,203.867,203.698,203.867,203.532,0.10568070276594468,,,,,0,0
3987,2024-07-18 12:20:00,FX:GBPJPY,203.781,203.815,203.767,203.788,1159.0,203.867,203.698,203.867,203.617,0.10452708871062583,,,,,0,0
3988,2024-07-18 12:25:00,FX:GBPJPY,203.788,203.792,203.735,203.756,1314.0,203.867,203.698,203.867,203.598,0.10357654693641306,,,,,0,0
3989,2024-07-18 12:30:00,FX:GBPJPY,203.756,203.781,203.698,203.705,1092.0,203.867,203.633,203.867,203.554,0.10316501599768477,,,,,0,0
3990,2024-07-18 12:35:00,FX:GBPJPY,203.705,203.821,203.705,203.802,821.0,203.852,203.633,203.867,203.554,0.10342171567773079,,,,,0,0
3991,2024-07-18 12:40:00,FX:GBPJPY,203.802,203.813,203.759,203.769,940.0,203.852,203.629,203.867,203.554,0.1024332813641762,,,,,0,0
3992,2024-07-18 12:45:00,FX:GBPJPY,203.769,203.85,203.769,203.835,1012.0,203.852,203.598,203.867,203.554,0.10200461573689246,,,,,0,0
3993,2024-07-18 12:50:00,FX:GBPJPY,203.835,203.839,203.751,203.751,995.0,203.852,203.554,203.852,203.554,0.10172452342215449,,,,,0,0
3994,2024-07-18 12:55:00,FX:GBPJPY,203.751,203.773,203.714,203.735,1307.0,203.85,203.554,203.852,203.554,0.10087003295371134,,,,,0,0
3995,2024-07-18 13:00:00,FX:GBPJPY,203.735,203.742,203.633,203.663,1613.0,203.85,203.554,203.852,203.554,0.10103263229463673,,,,,0,0
3996,2024-07-18 13:05:00,FX:GBPJPY,203.663,203.703,203.647,203.699,1279.0,203.85,203.554,203.852,203.554,0.10013197964874422,,,,,0,0
3997,2024-07-18 13:10:00,FX:GBPJPY,203.699,203.708,203.629,203.63,1099.0,203.85,203.554,203.85,203.554,0.09970934005576948,,,,,0,0
3998,2024-07-18 13:15:00,FX:GBPJPY,203.63,203.644,203.598,203.598,845.0,203.85,203.554,203.85,203.554,0.09863515325465393,,,,,0,0
3999,2024-07-18 13:20:00,FX:GBPJPY,203.598,203.618,203.554,203.604,1127.0,203.85,203.554,203.85,203.554,0.0979424501895607,,203.45605754981045,,203.5050287749052,1,1
