,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3
3105,2024-07-08 10:45:00,FX:EURUSD,1.08326,1.08337,1.0832,1.08322,869.0,1.0836,1.08287,1.08362,1.08286,0.0002926186863309338,,,,,0
3106,2024-07-08 10:50:00,FX:EURUSD,1.08322,1.0833,1.0832,1.08329,679.0,1.0836,1.08286,1.08362,1.08286,0.00028876631260431486,,,,,0
3107,2024-07-08 10:55:00,FX:EURUSD,1.08329,1.08349,1.08327,1.08346,738.0,1.0836,1.08286,1.0836,1.08286,0.00028739098635223074,,,,,0
3108,2024-07-08 11:00:00,FX:EURUSD,1.08346,1.0836,1.08313,1.08327,881.0,1.0836,1.08286,1.0836,1.08286,0.00029104316662518554,1.083891043166625,,1.0837455215833125,,2
3109,2024-07-08 11:05:00,FX:EURUSD,1.08327,1.08329,1.08314,1.08315,597.0,1.0836,1.08286,1.0836,1.08286,0.00028822230329268375,,,,,0
3110,2024-07-08 11:10:00,FX:EURUSD,1.08315,1.08327,1.08305,1.08311,594.0,1.0836,1.08286,1.0836,1.08286,0.0002868578572268278,,,,,0
3111,2024-07-08 11:15:00,FX:EURUSD,1.08311,1.08313,1.08287,1.08287,589.0,1.0836,1.08286,1.0836,1.08286,0.00028632070008228973,,,,,0
3112,2024-07-08 11:20:00,FX:EURUSD,1.08287,1.08302,1.08286,1.08299,478.0,1.0836,1.08286,1.0836,1.08286,0.00028379428608064715,,1.0825762057139192,,1.0827181028569597,1
3113,2024-07-08 11:25:00,FX:EURUSD,1.08299,1.08321,1.08296,1.0832,427.0,1.0836,1.08286,1.0836,1.08286,0.00028311840035903586,,,,,0
3114,2024-07-08 11:30:00,FX:EURUSD,1.0832,1.08328,1.08308,1.08324,603.0,1.0836,1.08286,1.0836,1.08286,0.0002814560323518547,,,,,0
3115,2024-07-08 11:35:00,FX:EURUSD,1.08324,1.08332,1.08313,1.08313,490.0,1.0836,1.08286,1.0836,1.08286,0.0002796269117048203,,,,,0
3116,2024-07-08 11:40:00,FX:EURUSD,1.08313,1.08326,1.08313,1.08322,484.0,1.08332,1.08286,1.0836,1.08286,0.0002766343734707232,,,,,0
3117,2024-07-08 11:45:00,FX:EURUSD,1.08322,1.08332,1.08322,1.08326,543.0,1.08332,1.08286,1.0836,1.08286,0.0002731016860013085,,,1.0834565508430007,,-2
3118,2024-07-08 11:50:00,FX:EURUSD,1.08326,1.08331,1.08317,1.08322,603.0,1.08332,1.08286,1.0836,1.08286,0.0002704396522812829,,,,,0
3119,2024-07-08 11:55:00,FX:EURUSD,1.08322,1.08331,1.08319,1.08324,394.0,1.08332,1.08286,1.08336,1.08286,0.0002674308592356552,,,,,0
3120,2024-07-08 12:00:00,FX:EURUSD,1.08324,1.08332,1.08316,1.08316,288.0,1.08332,1.08294,1.08336,1.08286,0.0002652822420509453,,,1.0834526411210255,,-2
3121,2024-07-08 12:05:00,FX:EURUSD,1.08316,1.08316,1.08294,1.08295,471.0,1.08332,1.08294,1.08336,1.08286,0.0002643765972099241,,,,1.082807811701395,-1
3122,2024-07-08 12:10:00,FX:EURUSD,1.08295,1.08327,1.08295,1.08324,413.0,1.08332,1.08294,1.08336,1.08286,0.00026548906526572316,,,,,0
